"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[tissue]"	"Term Source REF"	"Term Accession Number"	"Factor Value[season]"	"Unit"	"Term Source REF"	"Term Accession Number"
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL3-5_R1_fruit_2003_neg"	""	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL3-5_R2_fruit_2003_neg"	""	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL3-5_R3_fruit_2003_neg"	""	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL3-5_R4_fruit_2003_neg"	""	""	""	"R4"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL4-1_R1_fruit_2003_neg"	""	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL4-1_R2_fruit_2003_neg"	""	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL4-1_R3_fruit_2003_neg"	""	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL4-1_R4_fruit_2003_neg"	""	""	""	"R4"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL4-1-1_R1_fruit_2003_neg"	""	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL4-1-1_R2_fruit_2003_neg"	""	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL4-1-1_R3_fruit_2003_neg"	""	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL4-1-1_R4_fruit_2003_neg"	""	""	""	"R4"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL4-2_R1_fruit_2003_neg"	""	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL4-2_R2_fruit_2003_neg"	""	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL4-2_R3_fruit_2003_neg"	""	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL4-2_R4_fruit_2003_neg"	""	""	""	"R4"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL4-3_R1_fruit_2003_neg"	""	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL4-3_R2_fruit_2003_neg"	""	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL4-3_R3_fruit_2003_neg"	""	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL4-3_R4_fruit_2003_neg"	""	""	""	"R4"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL4-3-2_R1_fruit_2003_neg"	""	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL4-3-2_R2_fruit_2003_neg"	""	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL4-3-2_R3_fruit_2003_neg"	""	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL4-3-2_R4_fruit_2003_neg"	""	""	""	"R4"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL4-4_R1_fruit_2003_neg"	""	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL4-4_R2_fruit_2003_neg"	""	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL4-4_R3_fruit_2003_neg"	""	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL4-4_R4_fruit_2003_neg"	""	""	""	"R4"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL5-1_R1_fruit_2003_neg"	""	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL5-1_R2_fruit_2003_neg"	""	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL5-1_R3_fruit_2003_neg"	""	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL5-1_R4_fruit_2003_neg"	""	""	""	"R4"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL5-2_R1_fruit_2003_neg"	""	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL5-2_R2_fruit_2003_neg"	""	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL5-2_R3_fruit_2003_neg"	""	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL5-2_R4_fruit_2003_neg"	""	""	""	"R4"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL5-3_R1_fruit_2003_neg"	""	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL5-3_R2_fruit_2003_neg"	""	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL5-3_R3_fruit_2003_neg"	""	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL5-3_R4_fruit_2003_neg"	""	""	""	"R4"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL5-4_R1_fruit_2003_neg"	""	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL5-4_R2_fruit_2003_neg"	""	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL5-4_R3_fruit_2003_neg"	""	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL5-5_R1_fruit_2003_neg"	""	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL5-5_R2_fruit_2003_neg"	""	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL5-5_R3_fruit_2003_neg"	""	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL5-5_R4_fruit_2003_neg"	""	""	""	"R4"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL6-1_R1_fruit_2003_neg"	""	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL6-1_R2_fruit_2003_neg"	""	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL6-1_R3_fruit_2003_neg"	""	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL6-1_R4_fruit_2003_neg"	""	""	""	"R4"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL6-2_R1_fruit_2003_neg"	""	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL6-2_R2_fruit_2003_neg"	""	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL6-2_R3_fruit_2003_neg"	""	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL6-2_R4_fruit_2003_neg"	""	""	""	"R4"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL6-3_R1_fruit_2003_neg"	""	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL6-3_R2_fruit_2003_neg"	""	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL6-3_R3_fruit_2003_neg"	""	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL6-3_R4_fruit_2003_neg"	""	""	""	"R4"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL6-4_R1_fruit_2003_neg"	""	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL6-4_R2_fruit_2003_neg"	""	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL6-4_R3_fruit_2003_neg"	""	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL6-4_R4_fruit_2003_neg"	""	""	""	"R4"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL7-1_R1_fruit_2003_neg"	""	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL7-1_R2_fruit_2003_neg"	""	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL7-1_R3_fruit_2003_neg"	""	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL7-1_R4_fruit_2003_neg"	""	""	""	"R4"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL7-2_R1_fruit_2003_neg"	""	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL7-2_R2_fruit_2003_neg"	""	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL7-2_R3_fruit_2003_neg"	""	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL7-2_R4_fruit_2003_neg"	""	""	""	"R4"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL7-3_R1_fruit_2003_neg"	""	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2016"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"IL7-3_R2_fruit_2003_neg"	""	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
